,Airline,Arrival airport,Codesharing,Scheduled departure,delay,iataNumber,status
11091,american airlines,clt,True,2023-09-09t21:59:00.000,55.0,aa2373,active
11095,delta air lines,bos,True,2023-09-09t22:00:00.000,38.0,dl475,active
11096,air india,del,True,2023-09-09t22:00:00.000,52.0,ai184,active
11101,air new zealand,akl,True,2023-09-09t22:00:00.000,34.0,nz7,active
11103,singapore airlines,sin,True,2023-09-09t22:05:00.000,23.0,sq33,active
11104,vietnam airlines,sgn,True,2023-09-09t22:10:00.000,20.0,vn99,active
11106,frontier airlines,las,True,2023-09-09t22:11:00.000,12.0,f92080,active
11110,alaska airlines,jfk,True,2023-09-09t22:20:00.000,28.0,as38,active
11116,virgin atlantic,lhr,True,2023-09-09t22:20:00.000,72.0,vs42,active
11121,alaska airlines,ewr,True,2023-09-09t22:25:00.000,10.0,as374,active
11124,qantas,syd,True,2023-09-09t22:25:00.000,39.0,qf74,active
11135,united airlines,smf,True,2023-09-09t22:35:00.000,15.0,ua5638,active
11136,united airlines,rdm,True,2023-09-09t22:35:00.000,33.0,ua5711,active
11141,united airlines,fat,True,2023-09-09t22:35:00.000,12.0,ua5904,active
11145,united airlines,eug,True,2023-09-09t22:35:00.000,42.0,ua5969,active
11149,united airlines,cle,True,2023-09-09t22:36:00.000,8.0,ua1711,active
11150,frontier airlines,atl,True,2023-09-09t22:37:00.000,34.0,f91522,active
11152,united airlines,mfr,True,2023-09-09t22:39:00.000,24.0,ua5502,active
11153,united airlines,sin,True,2023-09-09t22:40:00.000,59.0,ua1,active
11156,united airlines,ewr,True,2023-09-09t22:40:00.000,29.0,ua2059,active
11161,united airlines,pdx,True,2023-09-09t22:41:00.000,18.0,ua2128,active
11165,united airlines,sba,True,2023-09-09t22:42:00.000,8.0,ua5878,active
11167,united airlines,ont,True,2023-09-09t22:44:00.000,23.0,ua5365,active
11170,delta air lines,atl,True,2023-09-09t22:45:00.000,16.0,dl546,active
11173,air canada,yul,True,2023-09-09t22:45:00.000,30.0,ac764,active
11178,united airlines,lax,True,2023-09-09t22:46:00.000,16.0,ua1746,active
11181,united airlines,sea,True,2023-09-09t22:48:00.000,25.0,ua1971,active
11185,united airlines,rno,True,2023-09-09t22:48:00.000,18.0,ua5451,active
11188,united airlines,mex,True,2023-09-09t22:50:00.000,14.0,ua412,active
11190,united airlines,pit,True,2023-09-09t22:50:00.000,15.0,ua1204,active
11192,united airlines,bfl,True,2023-09-09t22:50:00.000,10.0,ua5443,active
11193,united airlines,cun,True,2023-09-09t22:51:00.000,21.0,ua1145,active
11197,united airlines,syd,True,2023-09-09t22:55:00.000,39.0,ua863,active
11202,united airlines,ord,True,2023-09-09t22:55:00.000,24.0,ua2247,active
11204,united airlines,sbp,True,2023-09-09t22:55:00.000,26.0,ua5615,active
11205,united airlines,rdd,True,2023-09-09t22:56:00.000,31.0,ua5513,active
11211,united airlines,yyz,True,2023-09-09t23:02:00.000,21.0,ua2056,active
11218,jetblue airways,bos,True,2023-09-09t23:04:00.000,25.0,b634,active
11221,united airlines,akl,True,2023-09-09t23:10:00.000,29.0,ua917,active
11223,united airlines,ind,True,2023-09-09t23:10:00.000,16.0,ua1484,active
11226,united airlines,bos,True,2023-09-09t23:15:00.000,88.0,ua1665,active
